cusip,asset_class_type_cd,ISSUER_INDUSTRY,MTG_AMORT_TYPE_LEVEL_FRM_CURR,MTG_TYPE,MTG_PREPAY_TYP,SECURITY_TYP,SECURITY_TYP2,CPN_TYP,MARKET_SECTOR_DES,MTG_COLLAT_TYP,tax_code_c,bank_qualified_i,dated_date_d,capital_purpose_c
851035SU0,MUNIGM,SCD,,,,FIXED,,FIXED,Muni,,EXMP,N,4/1/14,REF
852189CZ0,MUNIBQ,SCD,,,,FIXED,,FIXED,Muni,,EXMP,Y,8/15/11,REF
8562845Z3,USCORP,BANK,,,,US DOMESTIC,,FIXED,Corp,,,,,
856597EQ8,MUNIGM,GOB,,,,FIXED,,FIXED,Muni,,EXMP,N,4/14/15,REF
85732MQV2,MUNIGM,EDU,,,,"FIXED, OID",,"FIXED, OID",Muni,,EXMP,N,5/30/12,REF
8575355N4,MUNIBE,HGR,,,,FIXED,,FIXED,Muni,,EXMP,N,10/1/10,NEW
914460MK3,MUNIGM,HGR,,,,FIXED,,FIXED,Muni,,EXMP,N,8/6/14,NEW
914476NX0,MUNIGM,HGR,,,,FIXED,,FIXED,Muni,,EXMP,N,10/26/11,NEW
914476SR8,MUNIGM,HGR,,,,FIXED,,FIXED,Muni,,EXMP,N,5/3/16,REF
91463PCD3,MUNIBE,HGR,,,,FIXED,,FIXED,Muni,,EXMP,N,2/3/10,NEW
914641K87,MUNIBE,HGR,,,,FIXED,,FIXED,Muni,,EXMP,N,1/22/09,NEW
914641L78,MUNIBE,HGR,,,,"FIXED, OID",,"FIXED, OID",Muni,,EXMP,N,1/22/09,NEW
9353242F9,MUNIGM,GOB,,,,FIXED,,FIXED,Muni,,EXMP,N,9/1/14,REF
93638RBA2,MUNIGM,SCD,,,,"FIXED, OID",,"FIXED, OID",Muni,,EXMP,N,6/1/07,REF
936652JE7,MUNIBQ,SCD,,,,"FIXED, OID",,"FIXED, OID",Muni,,EXMP,Y,3/15/09,NEW
937071QS0,MUNIBQ,GOB,,,,FIXED,,FIXED,Muni,,EXMP,Y,12/18/14,NEW
938117HL5,MUNIBQ,SCD,,,,FIXED,,FIXED,Muni,,EXMP,Y,8/25/16,REF
938718XL2,MUNIBE,SCD,,,,"FIXED, OID",,"FIXED, OID",Muni,,EXMP,N,1/28/09,NEW
83165AZW7,SBAARM,,,,CPR,SBA Pool,Pool,VARIABLE,Mtge,SBA,,,,
83190AA52,SBAARM,,,,CPR,SBA Pool,Pool,VARIABLE,Mtge,SBA,,,,
83190AAB9,AGYMBSFIXED,,,,,SBA Pool,Pool,FIXED,Mtge,SBA,,,,
833068MM8,MUNIGM,SCD,,,,FIXED,,FIXED,Muni,,EXMP,N,5/31/17,NEW
833096GV6,MUNIGM,GOB,,,,FIXED,,FIXED,Muni,,EXMP,N,7/12/07,NEW
833124QG8,MUNIGM,SCD,,,,FIXED,,FIXED,Muni,,EXMP,N,6/30/16,NEW
863841CW0,MUNIBQ,WTR,,,,FIXED,,FIXED,Muni,,EXMP,Y,10/28/14,NEW
864881QL4,MUNIGM,WTR,,,,"FIXED, OID",,"FIXED, OID",Muni,,EXMP,N,4/1/16,REF
866664AS4,MUNIBQ,GOB,,,,FIXED,,FIXED,Muni,,EXMP,Y,2/23/17,NEW
870377GJ1,MUNIBQ,SCD,,,,FIXED,,FIXED,Muni,,EXMP,Y,8/1/14,NEW
871446SC5,MUNIGM,GOB,,,,FIXED,,FIXED,Muni,,EXMP,N,12/28/17,REF
874408AR8,MUNIBQ,EDU,,,,"FIXED, OID",,"FIXED, OID",Muni,,EXMP,Y,12/1/09,REF
924214PX1,MUNIGM,BBK,,,,FIXED,,FIXED,Muni,,EXMP,N,7/30/13,NEW
925479NP8,MUNIBQ,GOB,,,,"FIXED, OID",,"FIXED, OID",Muni,,EXMP,Y,12/30/13,NEW
926667KN5,MUNIBQ,GOB,,,,FIXED,,FIXED,Muni,,EXMP,Y,7/18/12,NEW
927749JD4,MUNIGM,WTR,,,,FIXED,,FIXED,Muni,,EXMP,N,6/8/16,NEW
92774GJR7,MUNIGM,GEN,,,,FIXED,,FIXED,Muni,,EXMP,N,6/18/14,REF
92778VCR7,MUNIGM,GEN,,,,FIXED,,FIXED,Muni,,EXMP,N,6/1/16,NEW
951835CX3,MUNIBQ,SCD,,,,FIXED,,FIXED,Muni,,EXMP,Y,5/5/16,REF
95235QDH9,MUNIBQ,GOB,,,,"FIXED, OID",,"FIXED, OID",Muni,,EXMP,Y,2/15/09,NEW
952700FX5,MUNIBQ,SCD,,,,FIXED,,FIXED,Muni,,EXMP,Y,7/13/16,REF
954668DX4,MUNIBQ,SCD,,,,"ZERO COUPON, OID",,"ZERO COUPON, OID",Muni,,EXMP,Y,5/8/12,REF
955641ES0,MUNIGM,GEN,,,,"FIXED, OID",,"FIXED, OID",Muni,,EXMP,N,2/20/14,NEW
957801AG8,MUNIBQ,SCD,,,,FIXED,,FIXED,Muni,,EXMP,Y,5/10/16,NEW
9151372Z5,MUNIGM,HGR,,,,FIXED,,FIXED,Muni,,EXMP,N,3/15/10,REF
91514AGX7,MUNIGM,HGR,,,,"FIXED, OID",,"FIXED, OID",Muni,,EXMP,N,10/15/17,NEW
91523NLE4,MUNIGM,HGR,,,,FIXED,,FIXED,Muni,,EXMP,N,12/5/12,NEW
916218VB3,MUNIBQ,SCD,,,,FIXED,,FIXED,Muni,,EXMP,Y,2/18/16,NEW
918103BF8,MUNIBQ,GOB,,,,FIXED,,FIXED,Muni,,EXMP,Y,4/1/09,NEW
919261FR3,MUNIGM,SCD,,,,FIXED,,FIXED,Muni,,EXMP,N,8/17/17,REF
939090JT4,MUNIBQ,WTR,,,,FIXED,,FIXED,Muni,,EXMP,Y,2/26/13,REF
939336UL5,PLMBS,,,"SEQ,AS",CPR,Prvt CMO Other,Whole Loan,FIXED,Mtge,WH15 5.3,,,,
93934FME9,PLMBS,,100,"PT,AS",CPR,Prvt CMO Other,Whole Loan,FIXED,Mtge,AltA34.0,,,,
939720AM0,MUNIGM,GEN,,,,"FIXED, OID",,"FIXED, OID",Muni,,EXMP,N,6/15/10,REF
939745SV8,MUNIGM,GOB,,,,FIXED,,FIXED,Muni,,EXMP,N,4/1/98,NEW
93974CEJ5,MUNIBE,GOB,,,,FIXED,,FIXED,Muni,,EXMP,N,1/22/09,NEW
833527BT0,MUNIBQ,SCD,,,,FIXED,,FIXED,Muni,,EXMP,Y,8/15/16,REF
836514BF5,MUNIGM,EDU,,,,FIXED,,FIXED,Muni,,EXMP,N,6/21/17,REF
836692CY7,MUNIBQ,WTR,,,,FIXED,,FIXED,Muni,,EXMP,Y,5/27/16,REF
836692DA8,MUNIBQ,WTR,,,,FIXED,,FIXED,Muni,,EXMP,Y,5/27/16,REF
83710RLD7,MUNIBE,GOB,,,,FIXED,,FIXED,Muni,,EXMP,N,4/1/10,NEW
837151RP6,MUNIGM,PWR,,,,FIXED,,FIXED,Muni,,EXMP,N,7/20/16,REF
874408AT4,MUNIBQ,EDU,,,,"FIXED, OID",,"FIXED, OID",Muni,,EXMP,Y,12/1/09,REF
874408AU1,MUNIBQ,EDU,,,,"FIXED, OID",,"FIXED, OID",Muni,,EXMP,Y,12/1/09,REF
876162HC5,MUNIBQ,SCD,,,,FIXED,,FIXED,Muni,,EXMP,Y,1/1/12,REF
876162HD3,MUNIBQ,SCD,,,,FIXED,,FIXED,Muni,,EXMP,Y,1/1/12,REF
87638QLG2,MUNIGM,MED,,,,"FIXED, OID",,"FIXED, OID",Muni,,EXMP,N,8/27/08,REF
876443LF7,MUNIGM,WTR,,,,FIXED,,FIXED,Muni,,EXMP,N,2/1/15,REF
920284GD2,MUNIGM,SCD,,,,FIXED,,FIXED,Muni,,EXMP,N,10/15/15,NEW
920284GF7,MUNIGM,SCD,,,,FIXED,,FIXED,Muni,,EXMP,N,10/15/15,NEW
920284GG5,MUNIGM,SCD,,,,FIXED,,FIXED,Muni,,EXMP,N,10/15/15,NEW
920284GP5,MUNIBQ,SCD,,,,FIXED,,FIXED,Muni,,EXMP,Y,1/19/16,NEW
920496LU8,MUNIBQ,SCD,,,,FIXED,,FIXED,Muni,,EXMP,Y,3/15/12,REF
921254KX5,MUNIGM,SCD,,,,FIXED,,FIXED,Muni,,EXMP,N,3/1/16,REF
837152UU9,MUNIBE,TRN,,,,FIXED,,FIXED,Muni,,EXMP,N,7/27/17,REF
837489JS3,MUNIBE,SCD,,,,FIXED,,FIXED,Muni,,EXMP,N,8/3/10,NEW
83755LKG0,MUNIGM,GEN,,,,FIXED,,FIXED,Muni,,EXMP,N,6/13/07,NEW
839287AL3,MUNIGM,WTR,,,,FIXED,,FIXED,Muni,,EXMP,N,11/10/16,REF
839533CD6,MUNIBQ,SCD,,,,"FIXED, OID",,"FIXED, OID",Muni,,EXMP,Y,7/13/12,REF
841624DW6,MUNIBQ,GOB,,,,FIXED,,FIXED,Muni,,EXMP,Y,4/7/16,NEW
927793TT6,MUNIGM,TRN,,,,FIXED,,FIXED,Muni,,EXMP,N,5/25/11,NEW
927793US6,MUNIGM,TRN,,,,"FIXED, OID",,"FIXED, OID",Muni,,EXMP,N,2/23/12,REF
92812QVB0,MUNITAX,MFH,,,,"FIXED, OID",,"FIXED, OID",Muni,,TAX,N,2/26/09,NEW
92817LLT8,MUNIBE,WTR,,,,FIXED,,FIXED,Muni,,EXMP,N,4/21/10,NEW
92817SMW5,MUNIGM,SCD,,,,FIXED,,FIXED,Muni,,EXMP,N,10/27/09,REF
92818MDE7,MUNIGM,GEN,,,,FIXED,,FIXED,Muni,,EXMP,N,6/13/12,REF
93974CEZ9,MUNIBE,GOB,,,,FIXED,,FIXED,Muni,,EXMP,N,1/22/09,NEW
93974CGE4,MUNIBE,GOB,,,,FIXED,,FIXED,Muni,,EXMP,N,4/21/09,NEW
93974CND8,MUNIBE,GOB,,,,FIXED,,FIXED,Muni,,EXMP,N,10/28/09,NEW
93974DQA9,MUNIGM,GOB,,,,FIXED,,FIXED,Muni,,EXMP,N,3/4/15,REF
93978E2Q4,MUNIGM,MED,,,,"FIXED, OID",,"FIXED, OID",Muni,,EXMP,N,5/15/08,RCV
940157YL8,MUNIGM,GOB,,,,FIXED,,FIXED,Muni,,EXMP,N,12/2/14,NEW
87807WHE4,MUNIBQ,SCD,,,,FIXED,,FIXED,Muni,,EXMP,Y,11/1/17,NEW
878181KG0,MUNIBQ,SCD,,,,FIXED,,FIXED,Muni,,EXMP,Y,4/27/16,REF
879677DH2,MUNIBQ,GEN,,,,FIXED,,FIXED,Muni,,EXMP,Y,8/25/10,REF
88165FAC6,USCORP,SPECIAL PURPOSE,,,,GLOBAL,,FIXED,Corp,,,,,
882722JZ5,MUNITAX,BAB,,,,FIXED,,FIXED,Muni,,TAX,N,8/27/09,NEW
